组播,#genre#
封丘1新闻综合,http://1.192.244.238:8188/rtp/239.16.20.19:10190
叶县电视台-1,http://1.192.244.238:8188/rtp/239.16.20.32:10320
新密综合频道,http://1.192.244.238:8188/rtp/239.16.20.41:10410
登封综合频道,http://1.192.244.238:8188/rtp/239.16.20.42:10420
巩义综合频道,http://1.192.244.238:8188/rtp/239.16.20.43:10430
新郑TV-1,http://1.192.244.238:8188/rtp/239.16.20.45:10450
渑池新闻综合,http://1.192.244.238:8188/rtp/239.16.20.47:10470
淅川电视台-1,http://1.192.244.238:8188/rtp/239.16.20.48:10480
新蔡TV,http://1.192.244.238:8188/rtp/239.16.20.49:10490
镇平新闻综合,http://1.192.244.238:8188/rtp/239.16.20.50:10500
宝丰TV-1,http://1.192.244.238:8188/rtp/239.16.20.63:10630
义马综合频道,http://1.192.244.238:8188/rtp/239.16.20.109:11090
鹤壁新闻综合,http://1.192.244.238:8188/rtp/239.16.20.142:11420
安阳新闻综合,http://1.192.244.238:8188/rtp/239.16.20.144:11440
三门峡新闻综合,http://1.192.244.238:8188/rtp/239.16.20.145:11450
卫辉综合频道,http://1.192.244.238:8188/rtp/239.16.20.191:11910
孟津综合综合,http://1.192.244.238:8188/rtp/239.16.20.192:11920
安阳文旅频道,http://1.192.244.238:8188/rtp/239.16.20.193:11930
淇县电视台,http://1.192.244.238:8188/rtp/239.16.20.205:12050
宜阳综合频道,http://1.192.244.238:8188/rtp/239.16.20.206:12060
汝阳综合频道,http://1.192.244.238:8188/rtp/239.16.20.207:12070
原阳电视台,http://1.192.244.238:8188/rtp/239.16.20.208:12080
宝丰-1,http://1.192.244.238:8188/rtp/239.16.20.209:12090
内黄综合频道,http://1.192.244.238:8188/rtp/239.16.20.228:12280
国学频道,http://1.192.244.238:8188/rtp/239.16.20.232:12320
郏县综合频道,http://1.192.244.238:8188/rtp/239.16.20.235:12350
禹州电视台,http://1.192.244.238:8188/rtp/239.16.10.39:2000
杞县新闻综合,http://1.192.244.238:8188/rtp/239.16.10.80:2000
永城新闻联播,http://1.192.244.238:8188/rtp/239.16.10.93:2000
光山综合频道,http://1.192.244.238:8188/rtp/239.16.10.94:2000
CETV-1,http://1.192.244.238:8188/rtp/239.16.20.78:10780
上海都市剧场,http://1.192.244.238:8188/rtp/239.16.20.38:10380
上海纪实人文,http://1.192.244.238:8188/rtp/239.16.20.124:11240
